Обчислення наближеня за допомогою ряду Фур'є значення функції x^20 * e^(-x^2 / 20)
Порядок N = 10

Коефіцієнти ряду Фур’є:
  №	        a_k	         b_k
  0       532686060.4965      Не існує
  1       -521718728.6542     0.0         
  2       490982478.8515      0.0         
  3       -446110403.7397     0.0         
  4       394137940.4565      0.0         
  5       -341389381.7148     0.0         
  6       292236174.1672      0.0         
  7       -248917558.2789     0.0         
  8       212038550.3506      0.0         
  9       -181243072.5878     0.0         
  10      155753833.1769      0.0         
